num, from_date, days_in_period, interest_expected, principle_remaining, principle_expected, total_expected
290, 2044-01-16, 31, 143.2421009726, 39130.7042485112, 3841.92604327600, 3985.16814424860
291, 2044-02-16, 29, 130.4356808284, 35275.9717850916, 3854.73246341960, 3985.16814424800
292, 2044-03-16, 31, 117.5865726170, 31408.3902134602, 3867.58157163140, 3985.16814424840
293, 2044-04-16, 30, 104.6946340449, 27527.9167032568, 3880.47351020340, 3985.16814424830
294, 2044-05-16, 31, 91.7597223442, 23634.5082813525, 3893.40842190430, 3985.16814424850
295, 2044-06-16, 30, 78.7816942712, 19728.1218313756, 3906.38644997690, 3985.16814424809
296, 2044-07-16, 31, 65.7604061046, 15808.7140932318, 3919.40773814380, 3985.16814424840
297, 2044-08-16, 31, 52.6957136441, 11876.2416626278, 3932.47243060400, 3985.16814424810
298, 2044-09-16, 30, 39.5874722088, 7930.6609905884, 3945.58067203940, 3985.16814424819
299, 2044-10-16, 31, 26.4355366353, 3971.9283829755, 3958.7326076129, 3985.1681442482
300, 2044-11-16, 30, 13.2397612766, 4.2E-9, 3971.9283829755, 3985.1681442521
